City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mahébourg,40,MU,1593577629,93,-20.41,57.7,18,1.5
Nanortalik,84,GL,1593577605,87,60.14,-45.24,4.53,3.09
Pevek,100,RU,1593577831,85,69.7,170.31,3.52,4.21
Mandera,77,KE,1593577857,61,3.94,41.87,26.26,9.25
Atuona,2,PF,1593577645,74,-9.8,-139.03,26.4,9.76
Ulladulla,56,AU,1593577857,35,-35.35,150.47,21,4.1
Busselton,74,AU,1593577858,47,-33.65,115.33,15,5.1
Zhezkazgan,75,KZ,1593577858,31,47.8,67.71,26,6
Longyearbyen,100,SJ,1593577859,39,78.22,15.64,9,5.7
Lakatoro,75,VU,1593577859,57,-16.1,167.42,25,3.6
Thompson,40,CA,1593577629,82,55.74,-97.86,16,5.7
Geraldton,75,AU,1593577860,77,-28.77,114.6,17,6.7
Cadiz,0,ES,1593577860,85,36.5,-5.75,21.67,0.75
Misratah,0,LY,1593577861,68,32.38,15.09,23.07,2.13
Pervoye Maya,20,RU,1593577861,62,56.16,44.72,15,6
Albany,99,US,1593577758,92,42.6,-73.97,18.33,0.86
Punta Arenas,2,CL,1593577862,92,-53.15,-70.92,-6,1
Mataura,98,NZ,1593577862,83,-46.19,168.86,3.89,1.34
Ushuaia,0,AR,1593577607,92,-54.8,-68.3,-3,2.1
Saskylakh,92,RU,1593577863,33,71.92,114.08,30.22,2.52
Mar del Plata,90,AR,1593577600,75,-38,-57.56,8.89,8.2
Talcahuano,100,CL,1593577600,100,-36.72,-73.12,10,5.1
Kapaa,20,US,1593577865,69,22.08,-159.32,27.22,5.1
Hermanus,0,ZA,1593577866,63,-34.42,19.23,15.06,1.8
Ribeira Grande,71,PT,1593577663,92,38.52,-28.7,18.87,4.38
Altamira,98,BR,1593577774,95,-3.2,-52.21,21.88,0.69
Tasiilaq,100,GL,1593577832,56,65.61,-37.64,7,3.1
Waingapu,64,ID,1593577867,57,-9.66,120.26,29.17,6.01
Raja,87,SS,1593577868,91,8.46,25.68,21,1.46
Clyde River,90,CA,1593577667,93,70.47,-68.59,2,1
Bereda,94,ES,1593577868,100,43.27,-7.54,16.67,2.68
East London,0,ZA,1593577620,81,-33.02,27.91,11,2.1
North Bend,40,US,1593577728,93,43.41,-124.22,15,4.6
Port Alfred,0,ZA,1593577592,83,-33.59,26.89,11.11,0.45
Namtsy,21,RU,1593577870,30,62.72,129.67,28,2
La Ronge,90,CA,1593577657,93,55.1,-105.28,14,4.6
Provideniya,90,RU,1593577611,87,64.38,-173.3,8,4
Tarn Taran,20,IN,1593577871,67,31.45,74.93,34,1.08
Beipiao,82,CN,1593577872,33,41.79,120.78,29.52,4.66
Kaeo,42,NZ,1593577872,77,-35.1,173.78,13.33,3.58
Rikitea,38,PF,1593577873,65,-23.12,-134.97,20.79,9.52
Riyadh,0,SA,1593577587,18,24.69,46.72,32,2.6
Puerto Ayora,82,EC,1593577873,91,-0.74,-90.35,21.11,2.24
Fortuna,20,US,1593577874,93,40.6,-124.16,11.67,5.1
Cape Town,0,ZA,1593577729,93,-33.93,18.42,8.33,2.6
Severo-Kuril'sk,17,RU,1593577594,69,50.68,156.12,11.03,3.94
Cidreira,55,BR,1593577875,74,-30.18,-50.21,13.36,11.88
Mil'kovo,89,RU,1593577875,53,54.72,158.62,21.92,0.68
Havelock,78,US,1593577621,93,34.88,-76.9,24.44,2.57
Atar,0,MR,1593577876,42,20.52,-13.05,30.51,2.48
Taoudenni,0,ML,1593577877,13,22.68,-3.98,30.97,2.33
Emerald,40,AU,1593577877,53,-23.53,148.17,23.33,4.1
Ancud,90,CL,1593577657,93,-41.87,-73.82,9.44,6.7
Dikson,28,RU,1593577878,100,73.51,80.55,3.73,6.22
Manjacaze,3,MZ,1593577878,88,-24.71,33.88,15.27,2.32
Skibbereen,75,IE,1593577878,87,51.55,-9.27,11,3.6
João Câmara,75,BR,1593577879,94,-5.54,-35.82,23,2.1
Hobart,20,AU,1593577743,54,-42.88,147.33,15,4.6
Saint George,1,US,1593577815,11,37.1,-113.58,27.22,1.5
Moses Lake,1,US,1593577881,30,47.13,-119.28,21,8.2
Chui,100,UY,1593577881,90,-33.7,-53.46,13.18,15.76
Temir,73,KZ,1593577881,44,49.14,57.13,18.5,5.07
Kenai,1,US,1593577882,59,60.55,-151.26,17,3.1
Poum,59,NC,1593577882,65,-20.23,164.02,21.36,7.09
Hualmay,76,PE,1593577882,85,-11.1,-77.61,15.17,3.38
Nikolskoye,40,RU,1593577604,77,59.7,30.79,16.67,8
Garden City,75,US,1593577883,56,42.33,-83.33,23,1.5
Upernavik,49,GL,1593577883,80,72.79,-56.15,2.99,5.34
Fairbanks,75,US,1593577785,76,64.84,-147.72,12,2.6
Gravdal,87,NO,1593577884,83,68.12,13.5,7.61,6.63
Jamestown,1,US,1593577645,82,42.1,-79.24,18.33,1.18
Hithadhoo,69,MV,1593577885,65,-0.6,73.08,28.95,1.36
